कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००
गोलभेडा सानो(लोकल),के.जी.,रू ५०.००,रू ६५.००,रू ५८.३३
गोलभेडा सानो(टनेल),के जी,रू ७५.००,रू ८५.००,रू ८०.००
गोलभेडा सानो(भारतीय),के जी,रू ८०.००,रू ८५.००,रू ८२.३३
गोलभेडा सानो(तराई),के जी,रू ७०.००,रू ८०.००,रू ७५.००
आलु रातो,के.जी.,रू ६०.००,रू ६५.००,रू ६२.६७
आलु रातो(भारतीय),के जी,रू ५२.००,रू ५५.००,रू ५३.३३
आलु सेतो,के.जी.,रू ५४.००,रू ५६.००,रू ५५.००
प्याज सुकेको (भारतीय),के.जी.,रू ८५.००,रू ९०.००,रू ८७.६७
गाजर(लोकल),के.जी.,रू ९०.००,रू १००.००,रू ९५.००
गाजर(तराई),केजी,रू ९०.००,रू १००.००,रू ९५.००
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००
बन्दा(नरिवल),केजी,रू ४०.००,रू ५०.००,रू ४५.००
काउली स्थानिय,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
स्थानीय काउली(ज्यापु),केजी,रू १००.००,रू ११०.००,रू १०५.००
काउली तराई,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
मूला रातो,के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७
मूला सेतो(लोकल),के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७
सेतो मूला(हाइब्रीड),केजी,रू ४०.००,रू ५०.००,रू ४५.००
भन्टा लाम्चो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
भन्टा डल्लो,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
बोडी(तने),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
मकै बोडी,केजी,रू ६०.००,रू ७०.००,रू ६५.००
मटरकोशा,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
घिउ सिमी(लोकल),के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
घिउ सिमी(हाइब्रीड),केजी,रू ११०.००,रू १२०.००,रू ११५.००
घिउ सिमी(राजमा),केजी,रू १४०.००,रू १५०.००,रू १४५.००
टाटे सिमी,के.जी.,रू १००.००,रू ११०.००,रू १०५.००
तितो करेला,के.जी.,रू १००.००,रू ११०.००,रू १०५.००
लौका,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
परवर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
